Class: detect_best_supported_implementation_on_first_use, Path: external_proj/simdjson/src/implementation.cpp, Start Line: 107, End Line: 128
Class: unsupported_implementation, Path: external_proj/simdjson/src/implementation.cpp, Start Line: 155, End Line: 178
Class: json_iterator, Path: external_proj/simdjson/src/generic/stage2/json_iterator.h, Start Line: 15, End Line: 116
Class: RandomUTF8, Path: external_proj/simdjson/tests/unicode_tests.cpp, Start Line: 7, End Line: 25
Class: dom_parser_implementation, Path: external_proj/simdjson/singleheader/simdjson.cpp, Start Line: 5790, End Line: 5968
Class: document, Path: external_proj/simdjson/singleheader/simdjson.cpp, Start Line: 6432, End Line: 6502
Class: json_structural_indexer, Path: external_proj/simdjson/singleheader/simdjson.cpp, Start Line: 22188, End Line: 22212
Class: padded_string_view, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 3656, End Line: 3705
Class: tape_ref, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 4039, End Line: 4067
Class: array, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 4081, End Line: 4201
Class: iterator, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 4086, End Line: 4127
Class: parser, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 4375, End Line: 4934
Class: Iterator, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 4846, End Line: 4846
Class: document_stream, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 5007, End Line: 5231
Class: element, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 5292, End Line: 5748
Class: object, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 5831, End Line: 6026
Class: key_value_pair, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 6031, End Line: 6041
Class: mini_formatter, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 6170, End Line: 6177
Class: pretty_formatter, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 6179, End Line: 6189
Class: escape_json_string, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 8406, End Line: 8413
Class: field, Path: external_proj/simdjson/singleheader/simdjson.h, Start Line: 40722, End Line: 40760
Class: Exception, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 591, End Line: 599
Class: RuntimeError, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 607, End Line: 610
Class: LogicError, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 618, End Line: 621
Class: Value, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 717, End Line: 1179
Class: Comments, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1158, End Line: 1172
Class: Path, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1241, End Line: 1265
Class: ValueIteratorBase, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1270, End Line: 1339
Class: ValueConstIterator, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1344, End Line: 1391
Class: ValueIterator, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1395, End Line: 1447
Class: Reader, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1509, End Line: 1713
Class: ErrorInfo, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1655, End Line: 1660
Class: Factory, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1739, End Line: 1746
Class: CharReaderBuilder, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1761, End Line: 1835
Class: StreamWriterBuilder, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 1981, End Line: 2037
Class: FastWriter, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 2062, End Line: 2089
Class: StyledWriter, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 2123, End Line: 2157
Class: StyledStreamWriter, Path: external_proj/simdjson/dependencies/jsoncppdist/json/json.h, Start Line: 2192, End Line: 2232
Class: OurFeatures, Path: external_proj/simdjson/dependencies/jsoncppdist/jsoncpp.cpp, Start Line: 1097, End Line: 1111
Class: OurReader, Path: external_proj/simdjson/dependencies/jsoncppdist/jsoncpp.cpp, Start Line: 1120, End Line: 1230
Class: OurCharReader, Path: external_proj/simdjson/dependencies/jsoncppdist/jsoncpp.cpp, Start Line: 2101, End Line: 2116
Class: NulStreambuf, Path: external_proj/simdjson/fuzz/NullBuffer.h, Start Line: 7, End Line: 15
Class: NulOStream, Path: external_proj/simdjson/fuzz/NullBuffer.h, Start Line: 17, End Line: 21
